Versus Player,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %,Key
ST Gabriel , 9 , 92 , 181 , 2 , 46.0 , 50.8 , 21 , 0 , 0 , 12 , 0 , 72.9 ,JE+Root
STR Binny , 3 , 44 , 65 , 0 , - , 67.7 , 26 , 0 , 0 , 6 , 0 , 63.1 ,JE+Root
T Bavuma , 1 , 6 , 9 , 0 , - , 66.7 , 6 , 0 , 0 , 0 , 0 , 33.3 ,JE+Root
TA Boult , 20 , 195 , 465 , 7 , 27.9 , 41.9 , 37 , 0 , 0 , 22 , 0 , 77.6 ,JE+Root
Taijul Islam , 2 , 26 , 58 , 1 , 26.0 , 44.8 , 23 , 0 , 0 , 1 , 0 , 70.7 ,JE+Root
TAM Siriwardana , 1 , 5 , 5 , 0 , - , 100.0 , 5 , 0 , 0 , 0 , 0 , 20.0 ,JE+Root
TB de Bruyn , 1 , 19 , 11 , 0 , - , 172.7 , 19 , 0 , 0 , 3 , 0 , 36.4 ,JE+Root
TG Southee , 22 , 311 , 589 , 6 , 51.8 , 52.8 , 56 , 2 , 0 , 39 , 1 , 73.7 ,JE+Root
TJ Murtagh , 1 , 15 , 23 , 0 , - , 65.2 , 15 , 0 , 0 , 2 , 0 , 69.6 ,JE+Root
UT Yadav , 12 , 113 , 184 , 2 , 56.5 , 61.4 , 22 , 0 , 0 , 13 , 0 , 66.8 ,JE+Root
V Permaul , 4 , 92 , 125 , 2 , 46.0 , 73.6 , 36 , 0 , 0 , 11 , 0 , 57.6 ,JE+Root
VD Philander , 11 , 80 , 148 , 2 , 40.0 , 54.1 , 24 , 0 , 0 , 11 , 0 , 70.3 ,JE+Root
VR Aaron , 2 , 65 , 108 , 0 , - , 60.2 , 41 , 0 , 0 , 10 , 0 , 74.1 ,JE+Root
Wahab Riaz , 8 , 137 , 235 , 3 , 45.7 , 58.3 , 49 , 0 , 0 , 15 , 0 , 69.4 ,JE+Root
Washington Sundar , 1 , 46 , 55 , 0 , - , 83.6 , 46 , 0 , 0 , 6 , 0 , 52.7 ,JE+Root
WB Rankin , 1 , 11 , 14 , 0 , - , 78.6 , 11 , 0 , 0 , 1 , 0 , 50.0 ,JE+Root
Yasir Shah , 14 , 263 , 425 , 5 , 52.6 , 61.9 , 85 , 1 , 0 , 32 , 0 , 65.2 ,JE+Root
Zahid Mahmood , 3 , 33 , 38 , 2 , 16.5 , 86.8 , 20 , 0 , 0 , 2 , 0 , 42.1 ,JE+Root
Zulfiqar Babar , 5 , 68 , 170 , 1 , 68.0 , 40.0 , 25 , 0 , 0 , 4 , 0 , 72.4 ,JE+Root
Total,888,"10,628","19,077",207,51.3,55.7,107,16,1,"1,186",28,70.0,JE+Root
