Year,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %,Key
2014 , 11 , 777 ," 1,339 ", 8 , 97.1 , 58.0 , 200 , 3 , 3 , 84 , 1 , 68.9 ,JE+Root
2015 , 26 ," 1,385 "," 2,174 ", 23 , 60.2 , 63.7 , 182 , 10 , 3 , 158 , 10 , 68.8 ,JE+Root
2016 , 32 ," 1,477 "," 2,433 ", 30 , 49.2 , 60.7 , 254 , 10 , 3 , 171 , 1 , 66.9 ,JE+Root
2017 , 19 , 966 ," 1,563 ", 19 , 50.8 , 61.8 , 190 , 8 , 2 , 138 , 1 , 70.8 ,JE+Root
2018 , 24 , 948 ," 1,778 ", 23 , 41.2 , 53.3 , 125 , 6 , 2 , 92 , 3 , 69.9 ,JE+Root
2019 , 23 , 851 ," 1,837 ", 23 , 37.0 , 46.3 , 226 , 4 , 2 , 93 , 1 , 73.5 ,JE+Root
2020 , 13 , 464 , 822 , 11 , 42.2 , 56.4 , 68 , 4 , 0 , 49 , 2 , 68.4 ,JE+Root
2021 , 29 ," 1,708 "," 3,004 ", 28 , 61.0 , 56.9 , 228 , 4 , 6 , 180 , 3 , 66.8 ,JE+Root
2022 , 27 ," 1,097 "," 1,721 ", 24 , 45.7 , 63.7 , 176 , 2 , 5 , 122 , 3 , 64.8 ,JE+Root
Total,233,"10,628","19,077",215,49.4,55.7,254,55,28,"1,186",28,70.0,JE+Root
